uid	old_dims	old_gp	truth_dims	truth_gp
2136	(32493, 7703)	0,25	71022x16836	1,20
2141	(8801, 28438)	0,25	17830x57611	1,03
2142	(9895, 25295)	0,25	15610x39904	0,62
2151	(66972, 17252)	1,16	31172x8030	0,25
2152	(45641, 11339)	0,52	31741x7886	0,25
2156	(82139, 22943)	1,88	29935x8361	0,25
2157	(51544, 15305)	0,79	29034x8621	0,25
2158	(45691, 16705)	0,76	26165x9566	0,25
2160	(38726, 16780)	0,65	24034x10414	0,25
2162	(35152, 15876)	0,56	23541x10632	0,25
2169	(36819, 14001)	0,52	25656x9756	0,25
2171	(57202, 18544)	1,06	27787x9008	0,25
2172	(69180, 18770)	1,30	30374x8241	0,25
2173	(39778, 15053)	0,60	25717x9732	0,25
2175	(37360, 15992)	0,60	24182x10351	0,25
2178	(51583, 19526)	1,01	25714x9734	0,25
2186	(24128, 22396)	0,54	16421x15242	0,25
2187	(30068, 18749)	0,56	20035x12493	0,25
2188	(45235, 14054)	0,64	28384x8819	0,25
2191	(41455, 24618)	1,02	20530x12192	0,25
2192	(60364, 23678)	1,43	25261x9909	0,25
2194	(50865, 13322)	0,68	30913x8096	0,25
2196	(23678, 23677)	0,56	15827x15826	0,25
2197	(125095, 23514)	2,94	36490x6859	0,25
2198	(68072, 15156)	1,03	33528x7465	0,25
2199	(43849, 15156)	0,66	26909x9301	0,25
2210	(97738, 22568)	2,21	32923x7602	0,25
2211	(52296, 14267)	0,75	30289x8263	0,25
2214	(31073, 43766)	1,36	13331x18777	0,25
2215	(40476, 38452)	1,56	16232x15420	0,25
2216	(40476, 22293)	0,90	21317x11741	0,25
2217	(33370, 23838)	0,80	18718x13371	0,25
2219	(39628, 17706)	0,70	23668x10575	0,25
2228	(31573, 19220)	0,61	20278x12344	0,25
2230	(33597, 29286)	0,98	16945x14771	0,25
2231	(19211, 29286)	0,56	12814x19534	0,25
2233	(60432, 26423)	1,60	23925x10461	0,25
2234	(44698, 33417)	1,49	18297x13679	0,25
2235	(37189, 16808)	0,63	23533x10636	0,25
2237	(48794, 21382)	1,04	23900x10473	0,25
2242	(48794, 34107)	1,66	18923x13227	0,25
2244	(28675, 21875)	0,63	18113x13818	0,25
2247	(52913, 35904)	1,90	19206x13032	0,25
2249	(53756, 28592)	1,54	21693x11538	0,25
2262	(36729, 27929)	1,03	18143x13796	0,25
2263	(45503, 24243)	1,10	21675x11548	0,25
2264	(23614, 30853)	0,73	13841x18084	0,25
2265	(47764, 17271)	0,82	26310x9513	0,25
2266	(36160, 31017)	1,12	17082x14652	0,25
2267	(26359, 23437)	0,62	16778x14918	0,25
2268	(59698, 15113)	0,90	31443x7960	0,25
2269	(42048, 15299)	0,64	26264x9530	0,25
2270	(45034, 18434)	0,83	24728x10122	0,25
2284	(54336, 37424)	2,03	19063x13130	0,25
2285	(36073, 28459)	1,03	17812x14052	0,25
2286	(43769, 19445)	0,85	23736x10545	0,25
2290	(44993, 24809)	1,12	21306x11748	0,25
2291	(24809, 24809)	0,62	15827x15827	0,25
2304	(11961, 20925)	0,25	18940x33135	0,63
2305	(19092, 13110)	0,25	27864x19134	0,53
2306	(17163, 14584)	0,25	37292x31688	1,18
2307	(22678, 11037)	0,25	53349x25964	1,39
2308	(28204, 8875)	0,25	57363x18050	1,04
2309	(20013, 12507)	0,25	32295x20182	0,65
2310	(102586, 24149)	2,48	32608x7676	0,25
2311	(61653, 20976)	1,29	27123x9228	0,25
2312	(62660, 24149)	1,51	25484x9821	0,25
2313	(102586, 12805)	1,31	44780x5590	0,25
2314	(54502, 24615)	1,34	23541x10632	0,25
2315	(50341, 18366)	0,92	26193x9556	0,25
2316	(74926, 24615)	1,84	27602x9068	0,25
2318	(49956, 10193)	0,51	35025x7146	0,25
2326	(26710, 9371)	0,25	56301x19753	1,11
2327	(24651, 10154)	0,25	40360x16624	0,67
2328	(18100, 13829)	0,25	25853x19753	0,51
2336	(81169, 20146)	1,64	31757x7882	0,25
2337	(65630, 13208)	0,87	35266x7097	0,25
2338	(34241, 16233)	0,56	22977x10893	0,25
2339	(42192, 14163)	0,60	27307x9166	0,25
2340	(34722, 15860)	0,55	23408x10692	0,25
2341	(88894, 22579)	2,01	31392x7974	0,25
2342	(54934, 13035)	0,72	32478x7707	0,25
2344	(69044, 7927)	0,55	46692x5361	0,25
2345	(63696, 18236)	1,16	29567x8465	0,25
2346	(30200, 18960)	0,57	19967x12536	0,25
2347	(54428, 13543)	0,74	31717x7892	0,25
2352	(54480, 20083)	1,09	26058x9606	0,25
2353	(45127, 14119)	0,64	28284x8849	0,25
2371	(80301, 20559)	1,65	31267x8005	0,25
2372	(64067, 12459)	0,80	35876x6977	0,25
2373	(27915, 19433)	0,54	18961x13200	0,25
2374	(78483, 6681)	0,52	54225x4616	0,25
2383	(55742, 24015)	1,34	24103x10384	0,25
2384	(57387, 16632)	0,95	29387x8517	0,25
2390	(36303, 15039)	0,55	24581x10183	0,25
2392	(39224, 15361)	0,60	25281x9901	0,25
2396	(45013, 16600)	0,75	26052x9608	0,25
2399	(63428, 19075)	1,21	28849x8676	0,25
2403	(76034, 22947)	1,74	28798x8691	0,25
2405	(26335, 20022)	0,53	18145x13795	0,25
2406	(64462, 23629)	1,52	26131x9579	0,25
2407	(44095, 21758)	0,96	22522x11113	0,25
2408	(38838, 19152)	0,74	22530x11110	0,25
2409	(76034, 8230)	0,63	48087x5205	0,25
2410	(62447, 20022)	1,25	27941x8959	0,25
2411	(62447, 8760)	0,55	42242x5926	0,25
2412	(64462, 8223)	0,53	44295x5650	0,25
2428	(26150, 9572)	0,25	68691x25144	1,73
2454	(69536, 22230)	1,55	27980x8945	0,25
2456	(68691, 19299)	1,33	29848x8386	0,25
2457	(54530, 24767)	1,35	23475x10662	0,25
2458	(47722, 20488)	0,98	24145x10366	0,25
2459	(65099, 20453)	1,33	28226x8868	0,25
2460	(65099, 8326)	0,54	44239x5658	0,25
2461	(71535, 19641)	1,41	30193x8290	0,25
2462	(37305, 14420)	0,54	25446x9836	0,25
2463	(87824, 20908)	1,84	32424x7719	0,25
2464	(63238, 13762)	0,87	33913x7380	0,25
2465	(53486, 20680)	1,11	25443x9837	0,25
2466	(41578, 13382)	0,56	27886x8975	0,25
2468	(63817, 15162)	0,97	32457x7711	0,25
2469	(46695, 20010)	0,93	24168x10357	0,25
2470	(46695, 10926)	0,51	32707x7653	0,25
2471	(39191, 15286)	0,60	25332x9880	0,25
2472	(36588, 15655)	0,57	24187x10349	0,25
2490	(64250, 21560)	1,39	27311x9165	0,25
2491	(33095, 21560)	0,71	19601x12769	0,25
2492	(64250, 15360)	0,99	32358x7736	0,25
2493	(52726, 17897)	0,94	27154x9217	0,25
2494	(66679, 24521)	1,64	26089x9594	0,25
2495	(66679, 14746)	0,98	33642x7440	0,25
2496	(55454, 20026)	1,11	26326x9507	0,25
2497	(43154, 12825)	0,55	29021x8625	0,25
2498	(72907, 28647)	2,09	25239x9917	0,25
2499	(55345, 18681)	1,03	27232x9192	0,25
2500	(49752, 15424)	0,77	28414x8809	0,25
2501	(80266, 28501)	2,29	26550x9427	0,25
2502	(43187, 21387)	0,92	22481x11133	0,25
2503	(80266, 16598)	1,33	34791x7194	0,25
2504	(40478, 12729)	0,52	28213x8872	0,25
2505	(71971, 19449)	1,40	30433x8224	0,25
2522	(53817, 50906)	2,74	16267x15387	0,25
2523	(58746, 60490)	3,55	15591x16054	0,25
2524	(40809, 35955)	1,47	16855x14850	0,25
2525	(48545, 24576)	1,19	22236x11257	0,25
2526	(24556, 47143)	1,16	11418x21920	0,25
2527	(42083, 22378)	0,94	21696x11537	0,25
2528	(21141, 27576)	0,58	13852x18068	0,25
2529	(45711, 46067)	2,11	15759x15882	0,25
2530	(56330, 31040)	1,75	21312x11744	0,25
2531	(30672, 53349)	1,64	11996x20865	0,25
2532	(40249, 43202)	1,74	15271x16391	0,25
2533	(46662, 25224)	1,18	21518x11632	0,25
2546	(50237, 36410)	1,83	18584x13469	0,25
2547	(44490, 45450)	2,02	15653x15991	0,25
2548	(30521, 51232)	1,56	12211x20497	0,25
2560	(14533, 17222)	0,25	39763x47120	1,87
2561	(18583, 13469)	0,25	49888x36159	1,80
2562	(16775, 14921)	0,25	43947x39089	1,72
2563	(22841, 10958)	0,25	53217x25531	1,36
2564	(12006, 20848)	0,25	29565x51338	1,52
2565	(15634, 16009)	0,25	54508x55815	3,04
2567	(72672, 21582)	1,57	29031x8622	0,25
2568	(44874, 21582)	0,97	22813x10972	0,25
2569	(56301, 19694)	1,11	26750x9357	0,25
2570	(60157, 12285)	0,74	35008x7149	0,25
2571	(58581, 13720)	0,80	32692x7657	0,25
2572	(52225, 36245)	1,89	18991x13180	0,25
2573	(27761, 24793)	0,69	16741x14951	0,25
2574	(37589, 25092)	0,94	19364x12926	0,25
2575	(37589, 15991)	0,60	24256x10319	0,25
2576	(40693, 22838)	0,93	21118x11852	0,25
2577	(27793, 22838)	0,63	17453x14341	0,25
2589	(18255, 13712)	0,25	29149x21895	0,64
2600	(27800, 18008)	0,50	19656x12733	0,25
2601	(27800, 18008)	0,50	19656x12733	0,25
2602	(27800, 18008)	0,50	19656x12733	0,25
2603	(27800, 18008)	0,50	19656x12733	0,25
2604	(27800, 18008)	0,50	19656x12733	0,25
2641	(37400, 13585)	0,51	26250x9535	0,25
2645	(15540, 16107)	0,25	57960x60075	3,48
2646	(16907, 14804)	0,25	33318x29173	0,97
